Year,LevelMaxYear,MaxtoMLS
1914,2.7,1.699
1915,11.07,10.712
1916,3.25,2.588
1917,2.23,1.7
1918,2.4,2.208
1919,8.88,7.582
1920,2.86,2.392
1921,3.74,2.461
1922,2.52,1.998
1923,3.79,2.542
1924,2.48,2.198
1925,2.14,1.591
1926,2.13,1.86
1927,3.01,2.227
1928,2.37,1.828
1929,3.16,2.29
1930,2.54,1.811
1931,2.03,2.382
1932,4.7,4.252
1933,3.58,2.861
1934,5.85,5.8
1935,2.34,2.08
1936,3.21,2.358
1937,2.78,2.08
1938,3.16,2.369
1939,2.14,1.949
1940,2.71,2.852
1941,5.49,4.012
1942,5.67,4.99
1943,2.56,2.612
1944,3.33,2.559
1945,2.92,2.06
1946,3.58,2.49
1947,3.57,2.979
1948,2.45,1.749
1949,5.01,3.599
1950,2.89,2.06
1951,2.06,1.818
1952,2.95,2.382
1953,2.73,2.269
1954,2.31,2.1
1955,2.69,2.31
1956,2.45,1.9
1957,5.84,4.921
1958,3.21,2.3
1959,2.48,2.49
1960,2.26,1.939
1961,8.64,6.899
1962,2.43,2.07
1963,4.49,3.819
1964,2.87,2.431
1965,2.75,1.729
1966,2.73,1.998
1967,3.1,2.32
1968,2.49,2.148
1969,3.47,3.231
1970,2.84,2.441
1971,3.51,2.76
1972,2.4,2.011
1973,3.77,2.651
1974,2.61,1.952
1975,2.72,2.07
1976,2.23,1.752
1977,3.21,2.519
1978,2.19,2.26
1979,3.1,2.241
1980,3.51,2.94
1981,2.54,1.893
1982,2.58,1.88
1983,5.41,4.843
1984,2.3,1.719
1985,2.56,1.738
1986,2.8,2.333
1987,2.33,1.828
1988,2.95,2.637
1989,3.45,2.729
1990,2.8,1.981
1991,2.64,2.149
1992,2.65,2.07
1993,2.96,2.211
1994,2.26,1.723
1995,2.85,2.618
1996,3.39,2.227
1997,2.95,2.277
1998,4.78,3.169
1999,1.96,1.683
2000,2.14,2.044
2001,2.85,2.542
2002,3.38,2.097
2003,4.66,4.292
2004,2.84,2.084
2005,3.16,2.349
2006,3.47,2.828
2007,2.44,2.063
2008,2.07,2.123
2009,2.78,2.697
2010,2.99,2.192
2011,2.23,2.074
2012,2.12,1.752
2013,2.21,2.054
2014,2.08,1.745
2015,2.99,2.503
2016,2.85,2.267
2017,3.1,2.329
2018,2.9,2.153
2019,2.69,1.837
2020,4.22,3.655
2021,3.51,2.759
2022,2.74,2.087
2023,2.87,2.258
2024,2.42,2.539
